new-clean-winemag-data-130k-v2,,,,,,,,,,,,,
id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
264,South Africa,"A good amount of earthy spice, tea leaves and forrest floor lead the way on the nose, but the black cherry and berry fruit aromas follow shortly after with an additional accent of sweet cured meat. Medium weight and lush, the creamy mouth transitions into a finish loaded with sweet spice and bittersweet cocoa.",,89,19,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Jardin 2007 Syrah,Syrah,Jardin
265,South Africa,"Fairly intense and flavorful, this Chard expresses assertive aromas and flavors of wood-grilled peaches, buttercream frosting, lemon custard and toasted brioche. Medium weight in the mouth with good balance and a touch of baking spice on the close.",Nine Yards,89,40,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Jardin 2009 Nine Yards Chardonnay,Chardonnay,Jardin
266,Argentina,"For an under-$15 red blend, Corte has it going on. It's rich and full, almost syrupy on the nose, with lots of oak, ink and vanilla. Shows power and packs a punch, with dark berry, chocolate and spicy flavors. A little tannic and scratchy, but with structure and framework to spare. Malbec (80%), with Bonarda and Petit Verdot.",Corte Malbec bonarda petit Verdot,89,14,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Kaiken 2008 Corte Malbec-bonarda-petit Verdot Red,Red Blend,Kaiken
267,Italy,"This vineyard-designate blend of Trebbiano and Grechetto opens with a luminous golden color and elegant aromas of stone fruit, citrus, Golden Delicious apple and mature pear. There's a pretty hint of vanilla and almond butter at the back.",Torre Di Giano Vigna Il Pino,89,40,Central Italy,Torgiano,,,,Lungarotti 2007 Torre Di Giano Vigna Il Pino White,White Blend,Lungarotti
268,Italy,"This sophisticated white wine from the homeland of Italy's most robust reds (Ripasso and Amarone) shows a full, generous appearance with a golden-amber color. Stone fruit, toasted almond and candied lemon give it heft and consistency.",Terso,89,36,Veneto,Veneto,,,,Marchesi Fumanelli 2005 Terso White,White Blend,Marchesi Fumanelli
269,Austria,"Smooth and ripe, this is a rich black-fruited wine, its tannins comfortably ensconsed in a rich cushion. There is acidity to balance and spice which, along with the full-bodied fruit character, makes the wine ready to drink now.",,89,17,Leithaberg,,,Roger Voss,@vossroger,Mariell 2009 Blaufränkisch,Blaufränkisch,Mariell
270,Italy,"A gorgeous expression of Friulano, this wine (in a screwcap bottle) makes an elegant addition to chicken, pasta or seafood dinners. Layers of peach, almond and pineapple are wrapped tightly together.",,89,25,Northeastern Italy,Colli Orientali Del Friuli,,,,Livio Felluga 2009 Friulano,Friulano,Livio Felluga
271,Greece,"Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams.",,89,15,Santorini,,,Susan Kostrzewa,@suskostrzewa,My Big Fat Greek Wine 2010 Assyrtico,Assyrtico,My Big Fat Greek Wine
272,Italy,"This partially oak-aged expression of Pinot Bianco from cool-climate Alto Adige (in the far north of Italy) offers a lovely texture that is creamy and smooth at the same time. Measured aromas include melon, apricot, grapefruit and a touch of vanilla spice.",Sirmian,89,26,Northeastern Italy,Alto Adige,,,,Nals Margreid 2010 Sirmian Pinot Bianco,Pinot Bianco,Nals Margreid
273,Argentina,"Leather, berry, earth, raisin and roasted qualities define the nose on this Tempranillo-led blend of four grapes. Feels good in the mouth, with active raspberry, plum and coffee flavors that comes with a roasted accent. Mildly leafy, baked and woody on the thorough finish.",B Crux,89,19,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,O. Fournier 2007 B Crux Red,Red Blend,O. Fournier
274,Italy,"This is a gorgeous Italian white from northern Italy that boasts fragrant tones of spring flower and chopped herb backed by peach, honey and white almond. It's crisp, intense and would be perfect with basil Thai curry.",Estrosa,89,13,Piedmont,Monferrato,,,,Pico Maccario 2010 Estrosa White,White Blend,Pico Maccario
275,Argentina,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.",Reserve De Familia,89,30,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Sottano 2009 Reserva De Familia Cabernet Sauvignon,Cabernet Sauvignon,Sottano
276,United States,"A huge, kick butt Zinfandel, packed with sweet berry, bacon, black pepper and smoky cedar flavors. There's absolutely nothing shy about it. Packs a real punch all the way through to the spicy finish. Good price for a Sonoma Zin this classic.",Old Vine,89,20,California,Sonoma County,Sonoma,,,St. Francis 2009 Old Vines Zinfandel,Zinfandel,St. Francis
277,United States,"Quite a good Cabernet, showing the elegance and ripe fruitiness you expect from Napa, in a style for drinking now. Drily tannic, it shows classic blackberry and blueberry flavors.",,89,30,California,Napa Valley,Napa,,,Trailhead 2010 Cabernet Sauvignon,Cabernet Sauvignon,Trailhead
278,United States,"Fruity, forward and quite refreshing, this has appealing black cherry fruit with a light candy flavor. The balancing tannins add sufficient depth and weight to allow this a few more years in the cellar.",Bishop Creek,89,50,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath
279,Italy,"This oak-fermented Sauvignon (in an artsy, screwcap bottle) delivers a rich, spicy finish and thick layers of peach, citrus, tomato leaf and honey-like aromas. It's a gorgeous wine that is an absolute pleasure to drink.",,89,52,Northeastern Italy,Alto Adige,,,,Franz Haas 2009 Sauvignon,Sauvignon,Franz Haas
280,Austria,"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.",Schiefer Reserve,92,24,Kremstal,,,Roger Voss,@vossroger,Forstreiter 2012 Schiefer Reserve Grüner Veltliner,Grüner Veltliner,Forstreiter
281,United States,"This is another fine Pinot from Cambria, showing the winery's great price-quality ratio. Words like opulent and elegant come to mind to describe intense flavors of black cherries, licorice, cola, herb tea and Indian spices. It's bone dry, and also quite tannic, but you can enjoy it now with big, rich lamb and beef dishes, or a wild mushroom risotto. Otherwise, it will continue to improve for at least eight years.",Bench Break Vineyard,92,34,California,Santa Maria Valley,Central Coast,,,Cambria 2011 Bench Break Vineyard Pinot Noir,Pinot Noir,Cambria
282,Italy,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.",Dulcamara,92,41,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,I Giusti E Zanza 2009 Dulcamara Red,Red Blend,I Giusti E Zanza
283,United States,"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.",Bella Vida Vineyard Unfiltered,92,52,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir,Pinot Noir,J. Christopher
284,Argentina,"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.",Marchiori Vineyard Block C2,92,215,Mendoza Province,Perdriel,,Michael Schachner,@wineschach,Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec,Malbec,Viña Cobos
285,Austria,"This is a very aromatic wine that's rich, spicy and with just a touch of ripeness. It has spiced pear, lychee and honey notes all balanced by a wonderful fresh acidity. Drink now and until 2020. Screwcap.",Steiner Kögl Erste Lage,92,0,Kremstal,,,Roger Voss,@vossroger,Salomon-undhof 2011 Steiner Kögl Erste Lage Riesling,Riesling,Salomon-undhof
286,United States,"While delicious now with flavors of raspberries, cherries, cola and oak, all showered with tart, citrusy acidity, this wine also has a great future. Give it 6–8 years to evolve in the bottle for further complexity.",Rincon Vineyard,92,60,California,Arroyo Grande Valley,Central Coast,,,Talley 2011 Rincon Vineyard Pinot Noir,Pinot Noir,Talley
287,Spain,"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.",Braó Vinyes Velles,92,40,Catalonia,Montsant,,Michael Schachner,@wineschach,Acústic 2010 Braó Vinyes Velles Carignan-grenache,Carignan-grenache,Acústic
288,Austria,"While it feels rich and round, this is also a wine with a crisp side to it. Acidity cuts through ripe pear, apricot and lychee flavors, giving a decidedly crisp balance. It's a wine that is already ready to drink. Screwcap.",Kremser Gebling Erste Lage,92,0,Kremstal,,,Roger Voss,@vossroger,Josef Schmid 2011 Kremser Gebling Erste Lage Grüner Veltliner,Grüner Veltliner,Josef Schmid
289,United States,"This 100% Cabernet Sauvignon is so rich and decadent, with milk chocolate, blackberry and new French oak flavors. Made by celebrity winemaker Philippe Melka, it's soft and approacheable on the palate and widely appealing. Your best bet is to drink up now.",Fortune Teller,92,125,California,Napa Valley,Napa,,,Parallel 2010 Fortune Teller Cabernet Sauvignon,Cabernet Sauvignon,Parallel
290,France,"This is a wine that has great potential—you can tell from the firm tannins, tight acidity and closed texture. Initially, black currant flavors are touched with dark, dusty notes, but they finish with more juicy character on the afterntaste. Drink from 2017.",,92,0,Bordeaux,Saint-estèphe,,Roger Voss,@vossroger,Château Lafon-rochet 2011 Saint-estèphe,Bordeaux-style Red Blend,Château Lafon-rochet
291,Italy,"This powerful Sagrantino opens with aromas of meat juice, truffle and black fruit. The palate offers blackberry, black cherry, cinnamon and black pepper, along with tobacco notes. It also has Sagrantino's trademark tannic backbone, but the tannins are ripe and are balanced by bright acidity.",,92,0,Central Italy,Sagrantino Di Montefalco,,Kerin O'keefe,@kerinokeefe,Dionigi 2006 Sagrantino Di Montefalco,Sagrantino,Dionigi
292,France,"Rich almonds, ripe peaches and a smoky, oxidized character all come together in this ripe, complex, fascinating wine. There is a great tang of apple acidity on the finish. Drink now.",Vin Jaune,92,45,France Other,Arbois,,Roger Voss,@vossroger,Domaine Daniel Dugois 2006 Vin Jaune Savagnin,Savagnin,Domaine Daniel Dugois
293,Australia,"This wine displays ample concentration in its inky color and potent aromas of dark berry fruit. There's a hint of raisining as well. In the mouth, it's mouthfilling but lacks a bit of texture; the flavors include dark plums, vanilla and hints of dried fruits, like figs and dates. With a finish that calls to mind chocolate fudge (minus the sugar), opt for drinking this wine over the relatively near term, now to 2020.",Green's Vineyard,92,70,South Australia,Barossa Valley,,Joe Czerwinski,@joecz,Kilikanoon 2009 Green's Vineyard Shiraz,Shiraz,Kilikanoon
294,Argentina,"Deep, lush aromas of black fruits, graphite and coconut are welcoming and friendly. The mouthfeel is pure and smooth, with elegance and power. Flavors of cassis, blackberry, hard spices and licorice filter into a long, mellow, classy finish. This is a pushy, full-bodied wine that doesn't throw punches; drink through 2020.",Synthesis,92,30,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Finca Sophenia 2011 Synthesis Malbec,Malbec,Finca Sophenia
295,United States,"This blend showcases the soft lusciousness and ripe fruit of Paso Robles. It's rich and sweet in jammy blackberries, cherries, chocolate and spicy sandalwood. Drink now.",Treana Red,87,35,California,Paso Robles,Central Coast,,,Treana 2008 Treana Red Cabernet Sauvignon-syrah,Cabernet Sauvignon,Treana
296,Chile,"Rooty and leafy on the nose, with red berry aromas peeking through some obvious oak. The palate offers cherry and raspberry flavors along with sweetness, and things are backed by vanilla and chocolate. Good, tasty and oaky, with proper layering.",Grey Glacier Single Block Trinidad Vineyard,87,20,Maipo Valley,,,Michael Schachner,@wineschach,Ventisquero 2008 Grey [glacier] Single Block Trinidad Vineyard Cabernet Sauvignon,Cabernet Sauvignon,Ventisquero
297,United States,"This is a soft, gentle Cabernet for drinking now. It's pleasantly rich, offering blackberry, cherry, chocolate and cedar flavors, wrapped into easy tannins.",,87,15,California,Napa Valley,Napa,,,Aquinas 2008 Cabernet Sauvignon,Cabernet Sauvignon,Aquinas
298,Chile,"Foresty and dark on the bouquet, with aromas of licorice, prune, forest and foxiness. The palate is full and tannic, while flavors run sweet, creamy and slightly syrupy, with chocolate and spiced fig notes. Finishes rich and rough, with dry herbs and true Chilean Cab flavors of olive and oregano.",,87,19,Aconcagua Valley,,,Michael Schachner,@wineschach,Arboleda 2009 Cabernet Sauvignon,Cabernet Sauvignon,Arboleda
299,Italy,"Pinay is a tight and defined red blend from northern Italy with bright accents of cherry cola, forest berry, licorice and dark mineral. There's a sharp, sour note on the close that would pair with smoked cheese.",Pinay,87,0,Piedmont,Langhe,,,,Attilio Ghisolfi 2007 Pinay Red,Red Blend,Attilio Ghisolfi
300,United States,"Soft, light in body and easy to drink, this Sangiovese, from the Napa estate vineyard, is delicious in raspberry, red currant, licorice, bacon and spice flavors. It's somewhat ephemeral, an instantly pleasant wine to drink especially with cured meats, olives, hard cheeses.",Estate,87,28,California,Napa Valley,Napa,,,Benessere 2007 Estate Sangiovese,Sangiovese,Benessere
301,United States,"A good, clean, tart and lightly spicy all-stainless style. Cool climate fruit puts the accent on lime and lemon flavors, keeps the alcohol low (13.3%), and makes this a fine match to shellfish, white fish and light pasta dishes.",Whiteline No Oak,87,14,Washington,Columbia Valley,Columbia Valley,Paul Gregutt,@paulgwine,Buried Cane 2009 Whiteline No Oak Chardonnay,Chardonnay,Buried Cane
302,Italy,"This fresh Nebbiolo-based Roero from Cantina dei Nebbiolo offers pretty intensity with aromas of tar, licorice and a touch of sweet cherry liqueur. There isn't much pulp or meat here but the finish is both crisp and tart.",,87,0,Piedmont,Roero,,,,Cantina Del Nebbiolo 2008 Roero,Nebbiolo,Cantina Del Nebbiolo
303,Italy,"Slightly disjointed at first, this Barolo with fruit sourced from four vineyard sites, needs a few minutes to open in the glass. The wine offers tertiary aromas of cured beef, smoked bacon and white mushroom. Drink now.",4 Vigne,87,56,Piedmont,Barolo,,,,Cascina Adelaide 2005 4 Vigne,Nebbiolo,Cascina Adelaide
304,Italy,This aged expression from the Nizza subzone of Asti offers tertiary aromas of dried tobacco and dried prune. The variety's characteristic acidity kicks in on the finish.,Vignassa,87,0,Piedmont,Barbera D'asti Superiore,,,,Cascina La Ghersa 2004 Vignassa,Barbera,Cascina La Ghersa
305,United States,"Muted at first, this wine opens up nicely with time. Sweet, ripe and easy on the finish, its core is full of black pepper and clove. The grapes are sourced from several distinctive vineyards in Mendocino County. Drink it with a steak.",,87,24,California,Mendocino County,,Virginie Boone,@vboone,Claudia Springs 2007 Zinfandel,Zinfandel,Claudia Springs
306,Romania,"Fragrant on the nose with fresh orange, lemon and honeysuckle aromas, this full-bodied Chard is deliciously quaffable with a concentrated apple palate and just a hint of buttered toast. Another well-made Romanian at an unbeatable bargain price.",,87,7,Recas,,,Anna Lee C. Iijima,,Cramele Recas 2009 Chardonnay,Chardonnay,Cramele Recas
307,France,"Rich and full in the mouth, packed with red fruits and black cherries. The wine is sweet, while keeping a tannic core. Drink next year.",Les Dames Huguettes,87,30,Burgundy,Côte De Nuits-villages,,Roger Voss,@vossroger,Domaine Bertagna 2009 Les Dames Huguettes,Pinot Noir,Domaine Bertagna
308,Greece,"This fuller-bodied white blend offers pineapple, kiwi and citrus on the nose, and a blend of full fruit and acidity on the palate. A balanced, easygoing white that is perfect for everyday poultry, vegetable and fish meals.",Asirtiko Athiri,87,18,Santorini,,,Susan Kostrzewa,@suskostrzewa,Domaine Sigalas 2010 Asirtiko Athiri White,White Blend,Domaine Sigalas
309,Italy,Here's a fun and slightly less formal expression of Nebbiolo (especially when compared to the great wines of Barbaresco and Barolo) that offers tight fruit nuances of white cherry and forest berry backed by light shadings of spice and smoke.,,87,20,Piedmont,Langhe,,,,Socré 2006 Nebbiolo,Nebbiolo,Socré
310,Italy,"Aged 12 months in large oak casks, this bright Nebbiolo offers pretty aromas of small berry, tar, licorice and cigar smoke backed by tight intensity and structure. Pair this powerful wine with braised quail or pork tenderloin.",,87,18,Piedmont,Langhe,,,,Boffa 2006 Nebbiolo,Nebbiolo,Boffa
311,New Zealand,"This wine is light in color, but still packs a mouthful of flavor. It's peppery and meaty upfront, filled out on the midpalate by tart fruit that verges on cranberry in flavor. Pretty rather than potent; drink now-2014.",,87,18,Hawke's Bay,,,Joe Czerwinski,@joecz,Otto's Constant Dream 2008 Syrah,Syrah,Otto's Constant Dream
312,United States,"A good wine to drink now for its sweet, ripe berry and mocha flavors and smoky coat of oak. It has smooth tannins and a spicy finish. Give it a good decant to let it breathe for a few hours.",,87,40,California,Napa Valley,Napa,,,Mount Veeder 2008 Cabernet Sauvignon,Cabernet Sauvignon,Mount Veeder
313,Italy,"Roero Rabino is accented by sweet touches of cinnamon and nutmeg that are offset by cassis, dried blueberry, leather and tobacco. This sturdy red wine presents a very nice ensemble that is capped by a tight, astringent close.",,87,0,Piedmont,Roero,,,,Rabino 2008 Roero,Nebbiolo,Rabino
314,United States,"With rich, sweet blackberry and cocoa flavors, this is a very nice Cabernet for drinking with a good meal. It's a little rough around the edges, with jaggy tannins. Ready now.",,87,28,California,Napa Valley,Napa,,,Robert Mondavi 2008 Cabernet Sauvignon,Cabernet Sauvignon,Robert Mondavi
315,Italy,"Honey, almond blossom and citrus zest are followed by creamy foam and tonic acidity. This is an easygoing Prosecco that offers a light and compact structure and bright flavors of lime and green fruit.",Extra Dry,86,15,Veneto,Prosecco Di Valdobbiadene,,,,Bellussi Nv Extra Dry,Prosecco,Bellussi
316,France,"An intriguing blend of Sauvignon Blanc and Muscadelle, which highlights the herbaceous Sauvignon character and a more perfumed Muscadelle. The two give a fresh, citrus- and pineapple-flavored wine, lively, to be enjoyed young.",Les Amants Mont pérat,86,0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Mont-pérat 2008 Les Amants Mont-pérat,Bordeaux-style White Blend,Château Mont-pérat
317,France,"Soft, ripe, dominated by peaches, pears and a rounded, toasty character. The spice is dominant, giving the wine an exotic edge. The more rounded style gives concentration as well as a fine, finishing velvet texture.",,86,0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Tour De Mirambeau 2006 Bordeaux Blanc,Bordeaux-style White Blend,Château Tour De Mirambeau
318,Chile,"Fiery and wild at first, with aromas of cinnamon, pepper and Juicy Fruit gum. Strange as that may sound, the wine finds a more familiar place on the palate, where plum, cherry and cassis flavors are flashy and the feel is a bit clangy. Rounds out with air and settles down fairly nicely.",Reserve,86,18,Curicó Valley,,,Michael Schachner,@wineschach,Aresti 2007 Reserva Merlot,Merlot,Aresti
319,Italy,"Paladin produces a luminous and fresh Prosecco from the northeast of Italy with tonic aromas of peach, white stone and citrus fruit. It's an easy-drinking wine that would wash down well with appetizers and informal finger foods.",Brut Millesimato,86,20,Veneto,Veneto,,,,Paladin 2007 Millesimato Brut Prosecco,Prosecco,Paladin
320,Italy,Soapy aromas of bee's wax and lavender open the nose of this luminous sparkler and are followed by dried flowers and hay. There are peach-like flavors with aftertastes of green melon and lime. Grapes are grown organically and according to biodynamic principles.,Col Di Manza Extra Dry Millesimato,86,22,Veneto,Prosecco Di Valdobbiadene,,,,Perlage 2008 Col Di Manza Extra Dry Millesimato,Prosecco,Perlage
321,Italy,This Brut interpretation of Prosecco (“Brut” means it tastes dry in the mouth) offers tangy fizz and soda-like intensity backed by subdued aromas of white mineral and stone fruit. Pair it with puff pastry appetizers.,Brut,86,16,Veneto,Prosecco Di Valdobbiadene,,,,Sant Eurosia 2007 Brut,Prosecco,Sant Eurosia
322,Italy,"This is a “dry” vintage Prosecco with a hint of sweetness in the mouth that is surrounded by fragrant flavors of peach, kiwi and green melon. This luminous sparkler tastes firm and tonic and makes for an informal afternoon sipper.",Millesimato Dry,86,18,Veneto,Prosecco Di Valdobbiadene,,,,Sant Eurosia 2007 Millesimato Dry,Prosecco,Sant Eurosia
323,Chile,"Mildly minty and woody on the nose, with grass, wintergreen and cheese aromas as well as red fruit. The palate is tight and grabby, with a blast of citric acid that gives the plum and raspberry flavors a tart, decidedly “red” personality. Snappy and crisp on the finish, making it a fresh, lean style of Cabernet.",Gran Araucano,86,35,Colchagua Valley,,,Michael Schachner,@wineschach,J. & F. Lurton 2006 Gran Araucano Cabernet Sauvignon,Cabernet Sauvignon,J. & F. Lurton
324,Italy,The wine's golden hue tells you this is Prosecco from a warmer climate (Conegliano is a few degrees warmer than Valdobbiadene) as do its aromas of mature peach and honeysuckle. The wine tastes flat and big in the mouth and offers sophisticated notes of white pepper and spice.,Matiú Brut,86,12,Veneto,Prosecco Di Conegliano,,,,L'antica Quercia 2007 Matiú Brut,Prosecco,L'antica Quercia
325,United States,"This white has a light, delicate nose of citrus and apricot. On the palate it's smooth and balanced with lush apricot and spice flavors. A touch of acidity gives the wine lift. A lingering finish adds to its poise. Pair with a creamy cheese or sip alone.",,86,11,New York,Finger Lakes,,Susan Kostrzewa,@suskostrzewa,Lucas Vineyards 2007 Vignoles,Vignoles,Lucas Vineyards
326,Italy,Drying mineral tones face off with luscious peach flavors to create a well-balanced Extra Dry Prosecco sparkler. The bubbly offers cheerful foaming in the mouth and sweet fruit flavors on the close.,Extra Dry,86,15,Veneto,Prosecco Di Valdobbiadene,,,,Marsuret Nv Extra Dry,Prosecco,Marsuret
327,Chile,"Opening aromas of vanilla cookie show a resemblance to Animal Crackers, while the palate is more vivacious and tangy, with flavors of orange, tangerine and apple. We wouldn't call this an elegant or refined wine, but we like its no-issues attitude and citrusy content. Probably good with salads and seafood.",Legado Reserve,86,18,Limarí Valley,,,Michael Schachner,@wineschach,De Martino 2007 Legado Reserva Chardonnay,Chardonnay,De Martino
328,United States,"This New World blend of Sauvignon Blanc, Sémillon, Chardonnay and Viognier is very fruity. It offers a blast of pineapples, honeysuckles, peaches and figs, with a coating of oaky, vanilla buttercream.",Alluvium Blanc,86,16,California,Knights Valley,Sonoma,,,Beringer 2007 Alluvium Blanc White,White Blend,Beringer
329,United States,"With a fruity-sugary finish, this Zin will appeal to folks who like their red wines a little on the sweet side. It has pleasantly ripe flavors of black cherries, raspberries, red currants, root beer, mocha and pepper.",Reserve,86,34,California,Mendocino,,,,Brutocao 2006 Reserve Zinfandel,Zinfandel,Brutocao
330,United States,"This Rhône-style blend is a little rustic and sharp in tannins and acids. It shows a polished core of jammy blackberries, cherries and spices, and could develop in a year or two.",Lila's Cuvee,86,40,California,Central Coast,,,,Clos La Chance 2006 Lila's Cuvée Red,Red Blend,Clos La Chance
331,Chile,"Frosted aromas of orange creamsicle, lychee and melon give this an elevated, unique sort of bouquet. Among Chilean Gewürztraminers, this is one of the more expressive ones you'll find. Pineapple, mango and other tropical flavors are pleasant, while the feel is forward and fun. Drink this summer with fish and salads.",Visión,86,15,Casablanca Valley,,,Michael Schachner,@wineschach,Cono Sur 2008 Visión Gewürztraminer,Gewürztraminer,Cono Sur
332,Italy,"This Prosecco Brut from the slightly warmer Conegliano subzone is a perfect example of its kind. The luminous sparkler offers drying mineral tones that are embellished by pretty notes of white rose, honey, stone fruit and citrus. The mouthfeel is lean, smooth and fresh.",Palazzo Rosso Brut,86,19,Veneto,Prosecco Di Conegliano,,,,Sommariva Nv Palazzo Rosso Brut,Prosecco,Sommariva
333,Italy,This crisp sparkler is characterized by drying mineral tones and delicate aromas of stone fruit and citrus. The wine is foamy and slightly sweet in the mouth and does an excellent job of representing this category of Italian wine.,Col Del Sas Extra Dry,86,18,Veneto,Prosecco Di Valdobbiadene,,,,Spagnol Nv Col Del Sas Extra Dry,Prosecco,Spagnol
334,France,"A ripe, fruity wine that takes its raspberry flavor from the color. The wine has softness, a creamy character that rounds out any acidity, leaving a smooth, fruity finish.",Rosé Mosaïque Brut,86,42,Champagne,Champagne,,Roger Voss,@vossroger,Jacquart Nv Rosé Mosaïque Brut,Champagne Blend,Jacquart
335,Italy,"There's a unique note here of mature fruit, chopped basil or peppermint with a hint of spice or chopped white peppercorn. The bubbling seems less frothy and the wine has a flat, big feel in the mouth. Grapes were farmed organically and the wine is from the 2007 vintage, which may explain its distinctive style.",Arió Extra Dry,86,15,Veneto,Prosecco Di Conegliano,,,,L'antica Quercia 2007 Arió Extra Dry,Prosecco,L'antica Quercia
336,Chile,"Gritty, heavily roasted aromas of peanuts and herbal berry fruits lead to a scratchy, tannic palate. This tastes of burnt oak, raw plum and currant, while the finish tastes briny and harsh. The 2012 version of this wine was much better. This is rough from front to back.",Costa,83,35,Colchagua Costa,,,Michael Schachner,@wineschach,Koyle 2015 Costa Pinot Noir,Pinot Noir,Koyle
337,France,"An easy and inviting selection, there's a mentholated streak to the soft red currant and cherry core of this wine. Light and breezy on the palate, it offers thin, quickly dissipating flavors and a fleeting finish.",,83,16,Languedoc-roussillon,Languedoc,,Lauren Buzzeo,@laurbuzz,Château Notre Dame Du Quatourze 2015 Rosé,Rosé,Château Notre Dame Du Quatourze
338,France,The wine is earthy and somewhat rustic. There is fruit but it is spoiled by a spicy pepper edge. Chill this drastically.,,82,11,Provence,Coteaux Varois En Provence,,Roger Voss,@vossroger,Mémoires 2015 Rosé,Rosé,Mémoires
339,Spain,"Red in color, with berry and apple aromas, this is sweet, with a heavy body and light effervescence.",1887 Rosado,82,13,Catalonia,Cava,,Michael Schachner,@wineschach,Cavas Hill Nv 1887 Rosado Sparkling,Sparkling Blend,Cavas Hill
340,France,"The nose is muted, despite the slight spritz of the wine, while the palate is equally toned down. It's a rounded if not very expressive white wine.",Tradition,82,18,Alsace,Alsace,,Anne Krebiehl,@anneinvino,Antoine Moltès & Fils 2015 Tradition Pinot Gris,Pinot Gris,Antoine Moltès & Fils
341,United States,"Plummy and hinting at black cherry, this wine is otherwise soft and simple, with a distracting, full-throttled descent into raisin cake and prune.",Serracino Reserve,82,48,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Pezzi King 2013 Serracino Reserve Zinfandel,Zinfandel,Pezzi King
342,Spain,"Funky, yeasty aromas of cinnamon, spent lees and bread yeast dominate the nose. This feels foamy, with lightly vegetal flavors of apple that finish briny.",,82,11,Catalonia,Cava,,Michael Schachner,@wineschach,Bellisco Nv Sparkling,Sparkling Blend,Bellisco
343,Chile,"Jumpy on the nose at first, but then green tea and grassy aromas take over. This PN is what it is: it tastes grassy, leafy and like green beans. Vegetal notes carry over to the finish.",Grand Reserve,81,20,Rapel Valley,,,Michael Schachner,@wineschach,Pura 8 2010 Grand Reserve Pinot Noir,Pinot Noir,Pura 8
344,Chile,"Aromas of pumpkin, squash and corn chips are stale and not inviting. There's an acceptable mouthfeel to this weird, unbalanced Chardonnay along with flavors of spiced squash, mealy apple and sautéed root vegetables.",Gran Reserve,80,19,Leyda Valley,,,Michael Schachner,@wineschach,Viña Tarapacá 2015 Gran Reserva Chardonnay,Chardonnay,Viña Tarapacá
345,Australia,"This wine contains some material over 100 years old, but shows no signs of fragility. Instead, it's concentrated through age and should hold in the bottle indefinitely. It's dark coffee-brown in color, with delectable aromas of rancio, dried fig, molasses and black tea, yet despite enormous concentration avoids excessive weight. And it's amazingly complex and fresh on the nearly endless finish.",Rare,100,350,Victoria,Rutherglen,,Joe Czerwinski,@joecz,Chambers Rosewood Vineyards Nv Rare Muscat,Moscato,Chambers Rosewood Vineyards
346,Australia,"This deep brown wine smells like a damp, mossy cave. Then add complex rancio notes, plus maple syrup and molasses. It's full, round and harmonious, wonderfully rich yet without any sense of heaviness and long and bright on the finish.",Rare,98,350,Victoria,Rutherglen,,Joe Czerwinski,@joecz,Chambers Rosewood Vineyards Nv Rare Muscadelle,Moscatel,Chambers Rosewood Vineyards
